author,comment,likes,published_at
@aziscorleone8983,tombol pemerintah ngentod,1,2025-12-18T08:15:05Z
@lilfin1609,13:10 gw nangis,0,2025-12-18T07:58:11Z
@maiminh1954,"Datang aja, rame kok🍫🎀 𝑅💍𝑀𝒜 𝟦𝒟 🎀🍫",0,2025-12-18T07:00:16Z
@PhucThi_179,"Mampir bentar, ketagihan🍫🎀 𝑅💍𝑀𝒜 𝟦𝒟 🎀🍫",0,2025-12-18T06:58:51Z
@PhucThi8knkoi_590,Jangan cuma lewat🍫🎀 𝑅💍𝑀𝒜 𝟦𝒟 🎀🍫,0,2025-12-18T06:58:47Z
@NhungNghiêmHoàng.2433,"Sekali datang, betah🍫🎀 𝑅💍𝑀𝒜 𝟦𝒟 🎀🍫",0,2025-12-18T06:58:39Z
@jordanbennett79,Rame tiap hari🍫🎀 𝑅💍𝑀𝒜 𝟦𝒟 🎀🍫,0,2025-12-18T06:57:39Z
@Xuân_Quan_Nguyệt,Nongkrong enak di sini🍫🎀 𝑅💍𝑀𝒜 𝟦𝒟 🎀🍫,0,2025-12-18T06:57:25Z
@Long-Phùng-Mai,Lagi gabut? Mampir🍫🎀 𝑅💍𝑀𝒜 𝟦𝒟 🎀🍫,0,2025-12-18T06:57:19Z
@giangvõhoàng1999,"Tempat asik, serius🍫🎀 𝑅💍𝑀𝒜 𝟦𝒟 🎀🍫",0,2025-12-18T06:57:11Z
@thảoviênlan1969,Datang bareng teman🍫🎀 𝑅💍𝑀𝒜 𝟦𝒟 🎀🍫,0,2025-12-18T06:56:53Z
@Chi-Trịnh-Cúc,Nongkrong tanpa ribet	🍫🎀 𝑅💍𝑀𝒜 𝟦𝒟 🎀🍫,0,2025-12-18T06:56:52Z
@jihanreza1992,"Semoga lu sehat terus bang ,amin ..",0,2025-12-18T05:32:36Z
@rustyfrett,Di seluruh dunia ini cuma ada dua pemerintahan yang blokir bantuan kemanusiaan. Netanyahu di IPalestine dan Prabowo di Sumatera. Kayaknya ada yang lagi disembunyiin nih sama pemerintah. Aneh banget.,1,2025-12-18T02:08:30Z
@mhdfitrah7663,"BG fer 
andai kata terimakasih saya ketik sebanyak bintang di langit pun, saya rasa gak sepadan sama apa yang diri mu usahakan untuk kami para korban bencana ini 😔,
BG fer mohon maaf, hanya kata² itu lh yang bisa kami ucapkan , tak ada yang lain lagi yang bisa kami berikan , masalah balasan apa yang pantas untuk diri mu dan rekan² mu kami serah kan semua nya pada tuhan , 
BG fery dan juga semua nya yang ada di samping BG fery , saya meminta 1 hal pada kalian
tetap lah sehat , kalau lelah istirahat lh sejenak, dan sekali lagi saya ucap kan terima kasih untuk semua nya 🙏",0,2025-12-17T19:47:41Z
@zulkhairilkhairil9631,ke langkahan aceh utara bg parah kali,0,2025-12-17T19:28:27Z
@rozinurhuda7348,"gak ada otak itu yg bilang serem cuma di sosial media,,,",0,2025-12-17T18:24:30Z
@TiyaTaylor99,Bang Ferry anda layak jadi Mentri sosial atau bahkan layak jadi presiden,0,2025-12-17T13:06:57Z
@clipersquad,Semangaat bangg!!,0,2025-12-17T12:45:54Z
@yanthorikkausar3176,Pahlawan tanpa tanda jasa ❤,0,2025-12-17T11:47:46Z
@Tùng_Lê_Nhật,Join sekarang	🎯😈𝔯σ𝕞α４𝓭 🍓👊,0,2025-12-17T10:33:04Z
@thikhúcthị1986,Sini biar rame	🎯😈𝔯σ𝕞α４𝓭 🍓👊,0,2025-12-17T10:32:43Z
@Thảo-Lương-Đông,Jangan sampai ketinggalan	🎯😈𝔯σ𝕞α４𝓭 🍓👊,0,2025-12-17T10:31:30Z
@LinhLiễuKim-127,Mampir sebentar aja	🎯😈𝔯σ𝕞α４𝓭 🍓👊,0,2025-12-17T10:29:27Z
@hạnhPbạch,Asli seru	🎯😈𝔯σ𝕞α４𝓭 🍓👊,0,2025-12-17T10:26:16Z
@ThanhThu-2973,Seru bareng di sini	🎯😈𝔯σ𝕞α４𝓭 🍓👊,0,2025-12-17T10:25:54Z
@ChiMaiwyzboz_191,Datang rame-rame	🎯😈𝔯σ𝕞α４𝓭 🍓👊,0,2025-12-17T10:25:22Z
@Tùng.Viên.Hạ,Yuk merapat	🎯😈𝔯σ𝕞α４𝓭 🍓👊,0,2025-12-17T10:24:39Z
@anhphanduy1972,Rugi kalau skip	🎯😈𝔯σ𝕞α４𝓭 🍓👊,0,2025-12-17T10:24:02Z
@việtmạnh80,Sekali coba nagih	🎯😈𝔯σ𝕞α４𝓭 🍓👊,0,2025-12-17T10:23:55Z
@taqielma4618,Gas Full,0,2025-12-17T03:44:39Z
@Tarii92hongkong,Seharusnya yang jadi Mentri Abang feri bukan si bahlul😂😂,0,2025-12-17T01:24:34Z
@denyk142,terimakasih bang,0,2025-12-16T23:46:37Z
@van0300,Sekalas gubernur belum kesitu,0,2025-12-16T22:46:56Z
@ZubairAl-awam,Pemimpin pasukan revolusi,0,2025-12-16T19:44:08Z
@pambudi_pati,Kiri kanan lahan sawit,0,2025-12-16T17:35:12Z
@gp-eb8si,ini orang yg harus jadi presiden,0,2025-12-16T16:10:48Z
@MrSpyze1,Ferry Irwandi Kamu Benar Benar berdampak,0,2025-12-16T15:52:35Z
@JaafarIsmail74,Aku bekas tentera Malaysia air mata jantan ini akan merasa saat makan sarapan tengahari mikir diaceh  .,0,2025-12-16T15:05:22Z
@JaafarIsmail74,President pun kena tipu dari menterinya dari bantuan sumber tenaga ketrik berbagai dibawah pemerintahanya dalam diam musuh kepada rakyat,0,2025-12-16T14:54:46Z
@ardiyansyahpratamasaputra2232,Ikut nngis gue breee,0,2025-12-16T13:22:40Z
@HopingLucky,@ferryirwandi https://youtube.com/shorts/TTFnY_XqPwQ?si=bII7RcRUZvVHo8FL,0,2025-12-16T12:34:35Z
@WaddiSinaga,"Semoga terhibur sabar tambah menghadapi kenyataan bencana,dan takalah penting MOMEN  ini menuju REVOLUSI menuju SUMATERA berdiri sendiri seperti pejuang pejuang anak anak Sumatera.",0,2025-12-16T06:31:41Z
@bangnidu8654,"Ini kan yang kata dpr yang gak mencekam,anjing emang pemerintah. Taik",0,2025-12-16T03:23:39Z
@Cekintung,Bung Ferry luar biasa,0,2025-12-16T00:53:11Z
@ai_kapibara,The real kurohige 😅🎉,0,2025-12-16T00:15:49Z
@Rachmankalimantan,lanjutkan perjuangan bismillah,0,2025-12-15T23:19:52Z
@liask5099,Hanya bisa mengirim doa kepada seluruh masyarakat Indonesia yang sedang terdampak musibah dimanapun berada semoga diberi kesabaran dan ketabahan 😢,1,2025-12-15T22:08:29Z
@Runtuh1410,"Doa baik dari Tamiang untuk jasamu bang, respect",0,2025-12-15T17:40:28Z
@aslam-x7o,"negara kalah sama simpatisan,",0,2025-12-15T16:40:02Z
@WaddiSinaga,Lanjutkan revolusi demi Adil dan Beradab bukti nyata.,0,2025-12-15T16:06:14Z
@RedmiPadse-b7c,❤,0,2025-12-15T15:27:34Z
@sufrinaldi4175,Sehat selalu uda ferry irwandi dan masyarakat indonesia dan berkah barokah yang mendonasikan rezeki nya untuk saudara² kita yang terkena musibah banjir dan tanah longsor❤❤masyarkat indonesia❤❤,1,2025-12-15T15:05:56Z
@Yozora_da,"Baru mulai, dah speechless,, keren bngt , pahlawan para relawan ini❤",0,2025-12-15T14:20:00Z
@ahadtanipertanian8399,Mau tanya ente apa orang pdi bos,0,2025-12-15T12:42:47Z
@EdoVargas-n9n,"Astaga, smpe truk naik di atas truk . Semoga cepat pulih saudaraku semua🤲🤲😢",0,2025-12-15T12:24:18Z
@Turipah-r2c,"Beruntung sekarang ada youber loh,jd seindonesia bahkan sedunia langsung tau,coba kalau jaman masih seperti dulu,",0,2025-12-15T11:39:34Z
@Yangterdalam-f8i,"Bang maju terus pantang mundur,,,
Indonesia harus ada kemajuan dari Merdeka 1945, bukan KEMUNDURAN",0,2025-12-15T10:22:22Z
@itiksakit6718,Mungkin dgn revolusi Indonesia akan bebas dgn pemerintahan ini,0,2025-12-15T10:20:35Z
@CFI914,terimakasih pada bang feri irwandi dan semua relawan yang terjun langsung. khususnya untuk kalian semua yang berdonasi lewat beliau. kalian semua pahlawan yang sesungguhnya 🙌🙌,0,2025-12-15T10:01:52Z
@ylfdesign_cuttingdecalsticker,CONTOH BAIK GAK BANYAK BICARA TAPI LANGSUNG TURUN KE LAPANGAN KEREN ❤,0,2025-12-15T09:39:12Z
@salesdev05,"masyarakat indonesia hebat2 (kecuali masyarakat yang ada di pemerintahan, tidak semua sih) hahahaha yg tersinggung aja",0,2025-12-15T08:30:36Z
@dipatempest8300,"GILAAAAA...
aku yg dulu kerja bolak balik lintas sumut - aceh, ngga kebayang di daerah kuala simpang seberdampak ini 😭😭😭
tersentak hati ku, semoga warga sana apalagi yg di pelosok diberikan kekuatan, kesabaran, dan kesehatan..

kau keren lah bang ferr... big respect,
jadikan ini sbg pelajaran bagi kita jg",0,2025-12-15T08:10:49Z
@aaleee9914,gangerti lagi dah sama pemerintahan kita...mikir apa mikir woy pemerintahan jgn cuman pencitraan...TERIMAKASIH BANG FERY,0,2025-12-15T07:43:01Z
@sanggarkakyulia6912,"Semoga Allah kasih orang- orang seperti Anda yang masih memiliki kepedulian terhadap bencana yang melanda negeri kita BAng Irwandi. Doa untuk negeriku, dan doa untuk Bang Irwandi dan teman2 Youtuber yang terkasih. # Pemerintah gagap #DPR pencitraan #Politikus cuma omong2 doang # rakat jaga rakyat",0,2025-12-15T06:08:14Z
@OktaRaidazka,"Udah gatau berapa kali gua mengucapkan terimakasih😭
Pokoknya terimakasih banyak untuk bang ferry dan teman-teman serta semua rakyat Indonesia yang sudah membantu para warga Sumatra yang terkena musibah. 
Semoga lekas pulih Sumatra ku, lekas pulih Indonesia ku❤

W Rakyat Indonesia❤
L "" Si kang sawit dan komplotannya "" 🐷",0,2025-12-15T04:49:38Z
@naufalpamer2kali829,"Bang feri dan teman"" debes sekali semangat bang semoga sehat selalu  walopun pemrintah lambat kerjanya pencitraan doang tapi ngga di salahkan trlinyunan apan buktinya koban kelaparan dan pada meninggal coba kalo ngga ada bantuan rakyat untuk rakyat mereka semua mati",0,2025-12-15T04:37:24Z
@m.miftahfarid2323,"Pokoknya pemerintah yg menjabat semoga di laknat 
Aamiin allahumma amiin 🤲",0,2025-12-15T00:46:48Z
@SesDetri,Alhamdulillah,0,2025-12-15T00:10:05Z
@anasbroutsusuki7017,Anda orang jos mas fer,0,2025-12-14T20:59:14Z
@yoarirestu6440,Masihkah dibuka donasi untuk ssudara kita di sumatera..kemana sebaiknya,0,2025-12-14T20:31:12Z
@omahtonerindonesia9077,"Sejak era Megawati semua hutan dibabat habis..
Sampai presiden saat ini, tidak ada yg menghentikan..

Ada tuntutan dari PT pengolahan kayu dan Sawit dari Sinar Mas Group, Toba Group dan lain lain..

Mereka pakai manusia macam Fery, Timoty, Artis dan Infuencer lain untuk cuci uang..

Menjadikan Fery seolah bak pahlawan, padahal uang dari raksasa itu juga..

Dengan embel embel donasi hehe..

Hutan Indonesia sama dengan Tambang, kayu, pasir, batu, minyak, batu bara, nikel, emas, gas bumi dll..

Kalau cuma munculin manusia macam Fery, Rafi, Uya, Dedy, Timoty dll untuk buat citra baik, itu cuma seujung upil para raksasa..

Woy bung Fery, apakah anda Gayus new generation..??!! Hahahahaha..

Rakyat emang mudah ditipu oleh cover..??",0,2025-12-14T20:01:15Z
@veesalim9713,"#winwannur dan teman2 pasti nangis liat ini.. sadis banget!! Uang donasi sudah diberikan ke korban banjir kah win wan nur? Kau jgn korupsi dan share dgn supri pula ya?? Cepat, kasi ke mereka yg teekena banjir",0,2025-12-14T15:56:43Z
@andryyani5309,Tolong lh pak presiden dengarkan dan lihat video seperti ini bukan hanya mendengarkan para pembisik saja,1,2025-12-14T14:41:31Z
@harunayunk1456,Maaf bang cuma bisa bantu like subscribe 🙏,0,2025-12-14T14:41:01Z
@Simpdots,"thank you bang ferry dan seluruh masyarakat indonesia yang ikut berkontribusi entah dalam bentuk apapun untuk membantu. kejadian bencana yang melanda saudara kita di sumatera ini jadi pukulan keras bagi kita semua, turut berduka untuk seluruh korban yang terdampak, semangat untuk yang bisa bertahan sampai di hari ini ❤",0,2025-12-14T14:12:08Z
